wavelenght,n,k
1.6984109999999998e-09,0.9988609999,0.00045570001
1.700741e-09,0.998857,0.00045709999
1.703077e-09,0.998851,0.0004584
1.7054199999999999e-09,0.998843,0.00045980001
1.7077689999999999e-09,0.998829,0.00046159999
1.710124e-09,0.998807,0.00047200001
1.711304e-09,0.998798,0.00048759999
1.712486e-09,0.998796,0.00050909998
1.71367e-09,0.9987999999,0.00052559999
1.7148549999999999e-09,0.998801,0.00053010002
1.7160420999999998e-09,0.99879,0.00053409999
1.7172299999999999e-09,0.998773,0.0005652
1.71842e-09,0.99878,0.00062579999
1.719135e-09,0.998809,0.00067430001
1.7196119999999998e-09,0.998839,0.00070430001
1.7200889999999999e-09,0.9988760001,0.00072429999
1.720566e-09,0.998919,0.00073079998
1.721044e-09,0.998962,0.00072170002
1.721522e-09,0.99900069996,0.00069870002
1.7219999999999998e-09,0.99903270003,0.00066409999
1.724395e-09,0.99904959998,0.000474
1.726797e-09,0.9989670001,0.00041730001
1.729205e-09,0.99891,0.00041420001
1.7316200999999999e-09,0.998875,0.00041519999
1.734042e-09,0.998843,0.0004163
1.736471e-09,0.998805,0.00041740001
1.738906e-09,0.998747,0.00042249999
1.7401261e-09,0.998703,0.00043640001
1.741348e-09,0.998656,0.00047319999
1.7425721e-09,0.998628,0.00054019998
1.7437979999999999e-09,0.998629,0.00061579997
1.745025e-09,0.998641,0.00065840001
1.7462539999999999e-09,0.9986169999,0.00066389999
1.747484e-09,0.998545,0.00071400002
1.7487169999999998e-09,0.998502,0.0009094
1.7492098999999998e-09,0.998519,0.001025
1.7497039999999999e-09,0.9985709999,0.001145
1.7501979999999998e-09,0.998659,0.001265
1.750692e-09,0.998782,0.001373
1.751186e-09,0.998932,0.001446
1.7516809999999998e-09,0.99909160001,0.001469
1.752176e-09,0.99925420003,0.001437
1.752672e-09,0.99940570001,0.0013520001
1.7536629e-09,0.99962350001,0.001075
1.754905e-09,0.9996866,0.00069969997
1.7561469999999999e-09,0.99958500001,0.00045349999
1.7573919999999999e-09,0.99943640002,0.0003475
1.758638e-09,0.99931430002,0.00031629999
1.7598869999999999e-09,0.99923419999,0.00031
1.761136e-09,0.99918119999,0.0003095
1.763642e-09,0.99911209999,0.00031040001
1.766154e-09,0.99906609999,0.00031150001
1.7686729999999998e-09,0.99903160002,0.00031269999
1.7711999999999998e-09,0.99900449999,0.000314
1.7737339999999999e-09,0.998982,0.00031539999
1.7762749999999998e-09,0.998962,0.0003167
1.7788239999999999e-09,0.998946,0.00031810001
1.781379e-09,0.998931,0.00031949999
1.783942e-09,0.998917,0.0003208
1.79687e-09,0.998863,0.00032769999
1.809985e-09,0.998821,0.0003358
1.823294e-09,0.998786,0.0003442
1.878546e-09,0.998672,0.00038030001
1.9372499999999997e-09,0.998573,0.00042110001
1.9997419e-09,0.998477,0.00046750001
2.0663998999999998e-09,0.998381,0.0005203
2.1014239e-09,0.998332,0.00054939999
2.1376549e-09,0.9982790001,0.0005805
2.1562429999999997e-09,0.9982490001,0.00059700001
